,Nombre,Enlace
0,SerejaandDima,http://codeforces.com/problemset/problem/381/A
1,GravityFlip,http://codeforces.com/problemset/problem/405/A
2,LittlePonyandCrystalMine,http://codeforces.com/problemset/problem/454/A
3,AntonandLetters,http://codeforces.com/problemset/problem/443/A
4,FoxAndSnake,http://codeforces.com/problemset/problem/510/A
5,incARG,http://codeforces.com/problemset/problem/465/A
6,CaisaandPylons,http://codeforces.com/problemset/problem/463/B
7,Puzzles,http://codeforces.com/problemset/problem/337/A
8,Chatroom,http://codeforces.com/problemset/problem/58/A
9,VasyaandSocks,http://codeforces.com/problemset/problem/460/A
10,IWannaBetheGuy,http://codeforces.com/problemset/problem/469/A
11,Expression,http://codeforces.com/problemset/problem/479/A
12,Counterexample,http://codeforces.com/problemset/problem/483/A
13,FlippingGame,http://codeforces.com/problemset/problem/327/A
14,PashmakandGarden,http://codeforces.com/problemset/problem/459/A
15,IlyaandQueries,http://codeforces.com/problemset/problem/313/B
16,CheapTravel,http://codeforces.com/problemset/problem/466/A
17,LittlePonyandExpectedMaximum,http://codeforces.com/problemset/problem/453/A
18,CaisaandSugar,http://codeforces.com/problemset/problem/463/A
19,CutRibbon,http://codeforces.com/problemset/problem/189/A
20,WritingCode,http://codeforces.com/problemset/problem/543/A
21,TennisGame,http://codeforces.com/problemset/problem/496/D
22,Towers,http://codeforces.com/problemset/problem/479/B
23,Ryouko'sMemoryNote,http://codeforces.com/problemset/problem/433/C
24,KnightTournament,http://codeforces.com/problemset/problem/356/A
25,AndreyandProblem,http://codeforces.com/problemset/problem/442/B
26,Password,http://codeforces.com/problemset/problem/126/B
27,InterestingArray,http://codeforces.com/problemset/problem/482/B
28,FoxAndTwoDots,http://codeforces.com/problemset/problem/510/B
29,XeniaandBitOperations,http://codeforces.com/problemset/problem/339/D
30,k-Tree,http://codeforces.com/problemset/problem/431/C
31,ReadTime,http://codeforces.com/problemset/problem/343/C
32,Boredom,http://codeforces.com/problemset/problem/455/A
33,FoolsandRoads,http://codeforces.com/problemset/problem/191/C
34,DZYLovesSequences,http://codeforces.com/problemset/problem/446/A
35,BreakingGood,http://codeforces.com/problemset/problem/507/E
36,Red-GreenTowers,http://codeforces.com/problemset/problem/478/D
37,PashmakandBuses,http://codeforces.com/problemset/problem/459/C
38,MashmokhandReverseOperation,http://codeforces.com/problemset/problem/414/C
39,SerejaandTable,http://codeforces.com/problemset/problem/425/B
40,R2D2andDroidArmy,http://codeforces.com/problemset/problem/514/D
41,Strip,http://codeforces.com/problemset/problem/487/B
42,DestroyingRoads,http://codeforces.com/problemset/problem/543/B
43,AandBandLectureRooms,http://codeforces.com/problemset/problem/519/E
44,ObsessiveString,http://codeforces.com/problemset/problem/494/B
45,RestoreCube,http://codeforces.com/problemset/problem/464/B
46,RomanandNumbers,http://codeforces.com/problemset/problem/401/D
47,WaterTree,http://codeforces.com/problemset/problem/343/D
48,Towers,http://codeforces.com/problemset/problem/229/D
49,MaximumValue,http://codeforces.com/problemset/problem/484/B
50,ValeraandSwaps,http://codeforces.com/problemset/problem/441/D
51,IncreaseSequence,http://codeforces.com/problemset/problem/466/D
52,WonderRoom,http://codeforces.com/problemset/problem/466/B
53,DevuandPartitioningoftheArray,http://codeforces.com/problemset/problem/439/C
54,GeraldandGiantChess,http://codeforces.com/problemset/problem/559/C
55,WatchingFireworksisFun,http://codeforces.com/problemset/problem/372/C
56,JeffandRounding,http://codeforces.com/problemset/problem/351/A
57,CieltheCommander,http://codeforces.com/problemset/problem/321/C
58,PaintingFence,http://codeforces.com/problemset/problem/448/C
59,LittlePonyandHarmonyChest,http://codeforces.com/problemset/problem/453/B
60,CaseofChocolate,http://codeforces.com/problemset/problem/555/C
61,LuckyCommonSubsequence,http://codeforces.com/problemset/problem/346/B
62,SerejaandBrackets,http://codeforces.com/problemset/problem/380/C
63,KalilaandDimnaintheLoggingIndustry,http://codeforces.com/problemset/problem/319/C
64,String,http://codeforces.com/problemset/problem/128/B
65,Civilization,http://codeforces.com/problemset/problem/455/C
66,XORonSegment,http://codeforces.com/problemset/problem/242/E
67,PrefixesandSuffixes,http://codeforces.com/problemset/problem/432/D
68,ApplemanandTree,http://codeforces.com/problemset/problem/461/B
69,Enemyisweak,http://codeforces.com/problemset/problem/61/E
70,JzzhuandCities,http://codeforces.com/problemset/problem/449/B
71,SubstitutesinNumber,http://codeforces.com/problemset/problem/464/C
72,LittleElephantandArray,http://codeforces.com/problemset/problem/220/B
73,PashmakandGraph,http://codeforces.com/problemset/problem/459/E
74,Propagatingtree,http://codeforces.com/problemset/problem/383/C
75,Match&Catch,http://codeforces.com/problemset/problem/427/D
76,ASimpleTask,http://codeforces.com/problemset/problem/558/E
77,PrefixProductSequence,http://codeforces.com/problemset/problem/487/C
78,VasyaandBeautifulArrays,http://codeforces.com/problemset/problem/354/C
79,RoadImprovement,http://codeforces.com/problemset/problem/543/D
80,TreeRequests,http://codeforces.com/problemset/problem/570/D
81,SerejaandSquares,http://codeforces.com/problemset/problem/425/D
82,LISofSequence,http://codeforces.com/problemset/problem/486/E
83,JzzhuandNumbers,http://codeforces.com/problemset/problem/449/D
84,CaptainsMode,http://codeforces.com/problemset/problem/377/C
85,MikeandFoam,http://codeforces.com/problemset/problem/547/C
86,DevuandBirthdayCelebration,http://codeforces.com/problemset/problem/439/E
87,MartianStrings,http://codeforces.com/problemset/problem/149/E
88,HillClimbing,http://codeforces.com/problemset/problem/406/D
89,Antimatter,http://codeforces.com/problemset/problem/383/D
90,TrickyFunction,http://codeforces.com/problemset/problem/429/D
91,TheChildandSequence,http://codeforces.com/problemset/problem/438/D
92,TanyaandPassword,http://codeforces.com/problemset/problem/508/D
93,FedorandEssay,http://codeforces.com/problemset/problem/467/D
94,XeniaandTree,http://codeforces.com/problemset/problem/342/E
95,DZYLovesFibonacciNumbers,http://codeforces.com/problemset/problem/446/C
96,AnnandHalf-Palindrome,http://codeforces.com/problemset/problem/557/E
97,Kindergarten,http://codeforces.com/problemset/problem/484/D
98,TreeandQueries,http://codeforces.com/problemset/problem/375/D
99,SeregaandFun,http://codeforces.com/problemset/problem/455/D
