,Nombre,Enlace
0,Flowers,http://codeforces.com/problemset/problem/474/D
1,"Prizes,Prizes,morePrizes",http://codeforces.com/problemset/problem/208/D
2,XeniaandBitOperations,http://codeforces.com/problemset/problem/339/D
3,VasyaandChess,http://codeforces.com/problemset/problem/493/D
4,MashmokhandACM,http://codeforces.com/problemset/problem/414/B
5,MultiplicationTable,http://codeforces.com/problemset/problem/448/D
6,UnbearableControversyofBeing,http://codeforces.com/problemset/problem/489/D
7,Caesar'sLegions,http://codeforces.com/problemset/problem/118/D
8,ColorfulGraph,http://codeforces.com/problemset/problem/246/D
9,LittleGirlandMaximumXOR,http://codeforces.com/problemset/problem/276/D
10,CommonDivisors,http://codeforces.com/problemset/problem/182/D
11,MagicBox,http://codeforces.com/problemset/problem/231/D
12,GoodSequences,http://codeforces.com/problemset/problem/264/B
13,Password,http://codeforces.com/problemset/problem/126/B
14,GregandGraph,http://codeforces.com/problemset/problem/295/B
15,Workingout,http://codeforces.com/problemset/problem/429/B
16,CountGoodSubstrings,http://codeforces.com/problemset/problem/451/D
17,GoodSubstrings,http://codeforces.com/problemset/problem/271/D
18,LongPath,http://codeforces.com/problemset/problem/407/B
19,MaximumValue,http://codeforces.com/problemset/problem/484/B
20,GreenhouseEffect,http://codeforces.com/problemset/problem/269/B
21,Red-GreenTowers,http://codeforces.com/problemset/problem/478/D
22,MaximumSubmatrix2,http://codeforces.com/problemset/problem/375/B
23,CowProgram,http://codeforces.com/problemset/problem/283/B
24,BiridianForest,http://codeforces.com/problemset/problem/329/B
25,AndreyandProblem,http://codeforces.com/problemset/problem/442/B
26,DZYLovesModification,http://codeforces.com/problemset/problem/446/B
27,ZeroTree,http://codeforces.com/problemset/problem/274/B
28,PrefixesandSuffixes,http://codeforces.com/problemset/problem/432/D
29,Queue,http://codeforces.com/problemset/problem/91/B
30,Chips,http://codeforces.com/problemset/problem/333/B
31,ValidSets,http://codeforces.com/problemset/problem/486/D
32,PairofNumbers,http://codeforces.com/problemset/problem/359/D
33,Planets,http://codeforces.com/problemset/problem/229/B
34,Queue,http://codeforces.com/problemset/problem/353/D
35,PetyaandDivisors,http://codeforces.com/problemset/problem/111/B
36,ObsessiveString,http://codeforces.com/problemset/problem/494/B
37,DimaandBacteria,http://codeforces.com/problemset/problem/400/D
38,PsychosinaLine,http://codeforces.com/problemset/problem/319/B
39,CielandDuel,http://codeforces.com/problemset/problem/321/B
40,FallingAnvils,http://codeforces.com/problemset/problem/77/B
41,HitBall,http://codeforces.com/problemset/problem/203/D
42,ToySum,http://codeforces.com/problemset/problem/405/D
43,LuckyCommonSubsequence,http://codeforces.com/problemset/problem/346/B
44,TwoPaths,http://codeforces.com/problemset/problem/14/D
45,HelpGeneral,http://codeforces.com/problemset/problem/142/B
46,DimaandTwoSequences,http://codeforces.com/problemset/problem/272/D
47,Howmanytrees?,http://codeforces.com/problemset/problem/9/D
48,LuckyNumber2,http://codeforces.com/problemset/problem/145/B
49,Cinema,http://codeforces.com/problemset/problem/234/D
50,WizardsandHugePrize,http://codeforces.com/problemset/problem/167/B
51,AppleTree,http://codeforces.com/problemset/problem/348/B
52,YaroslavandTime,http://codeforces.com/problemset/problem/301/B
53,Numbers,http://codeforces.com/problemset/problem/213/B
54,TreasureIsland,http://codeforces.com/problemset/problem/106/D
55,BookofEvil,http://codeforces.com/problemset/problem/337/D
56,SerejaandPeriods,http://codeforces.com/problemset/problem/314/B
57,InfiniteMaze,http://codeforces.com/problemset/problem/196/B
58,PlayingwithPermutations,http://codeforces.com/problemset/problem/251/B
59,Doctor,http://codeforces.com/problemset/problem/83/B
60,Animals,http://codeforces.com/problemset/problem/35/D
61,MushroomScientists,http://codeforces.com/problemset/problem/185/B
