,Nombre,Enlace,Temas
62,ToAddorNottoAdd,http://codeforces.com/problemset/problem/231/C,"['binary search', 'sortings', 'two pointers', '*1600']"
63,XeniaandBitOperations,http://codeforces.com/problemset/problem/339/D,"['data structures', 'trees', '*1700']"
64,LittleGirlandMaximumXOR,http://codeforces.com/problemset/problem/276/D,"['bitmasks', 'dp', 'greedy', 'implementation', 'math', '*1700']"
65,ArithmeticProgression,http://codeforces.com/problemset/problem/382/C,"['implementation', 'sortings', '*1700']"
66,FriendsandPresents,http://codeforces.com/problemset/problem/483/B,"['binary search', 'math', '*1800']"
67,Barcode,http://codeforces.com/problemset/problem/225/C,"['dp', 'matrices', '*1700']"
68,XeniaandWeights,http://codeforces.com/problemset/problem/339/C,"['constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'shortest paths', '*1700']"
69,LittleDimaandEquation,http://codeforces.com/problemset/problem/460/B,"['brute force', 'implementation', 'math', 'number theory', '*1500']"
70,LongJumps,http://codeforces.com/problemset/problem/479/D,"['binary search', 'greedy', 'implementation', '*1700']"
71,Tetrahedron,http://codeforces.com/problemset/problem/166/E,"['dp', 'math', 'matrices', '*1500']"
72,PhysicsPractical,http://codeforces.com/problemset/problem/253/B,"['binary search', 'dp', 'sortings', 'two pointers', '*1400']"
73,Boredom,http://codeforces.com/problemset/problem/455/A,"['dp', '*1500']"
74,ValeraandTubes,http://codeforces.com/problemset/problem/441/C,"['constructive algorithms', 'dfs and similar', 'implementation', '*1500']"
75,ValeraandElections,http://codeforces.com/problemset/problem/369/C,"['dfs and similar', 'graphs', 'trees', '*1600']"
76,LittleGirlandMaximumSum,http://codeforces.com/problemset/problem/276/C,"['data structures', 'greedy', 'implementation', 'sortings', '*1500']"
77,GeorgeandJob,http://codeforces.com/problemset/problem/467/C,"['dp', 'implementation', '*1700']"
78,TableDecorations,http://codeforces.com/problemset/problem/478/C,"['greedy', '*1800']"
79,k-Tree,http://codeforces.com/problemset/problem/431/C,"['dp', 'implementation', 'trees', '*1600']"
80,ColortheFence,http://codeforces.com/problemset/problem/349/B,"['data structures', 'dp', 'greedy', 'implementation', '*1700']"
81,PolothePenguinandMatrix,http://codeforces.com/problemset/problem/289/B,"['brute force', 'dp', 'implementation', 'sortings', 'ternary search', '*1400']"
82,AnotherProblemonStrings,http://codeforces.com/problemset/problem/165/C,"['binary search', 'brute force', 'dp', 'math', 'strings', 'two pointers', '*1600']"
83,Exams,http://codeforces.com/problemset/problem/479/C,"['greedy', 'sortings', '*1400']"
84,Caesar'sLegions,http://codeforces.com/problemset/problem/118/D,"['dp', '*1700']"
85,BeautifulSetsofPoints,http://codeforces.com/problemset/problem/268/C,"['constructive algorithms', 'implementation', '*1500']"
86,Boredom,http://codeforces.com/problemset/problem/455/A,"['dp', '*1500']"
87,NumberofWays,http://codeforces.com/problemset/problem/466/C,"['binary search', 'brute force', 'data structures', 'dp', 'two pointers', '*1700']"
88,AandBandInterestingSubstrings,http://codeforces.com/problemset/problem/519/D,"['data structures', 'dp', 'two pointers', '*1800']"
89,ValidSets,http://codeforces.com/problemset/problem/486/D,"['dfs and similar', 'dp', 'math', 'trees', '*2100']"
90,DevuandPartitioningoftheArray,http://codeforces.com/problemset/problem/439/C,"['brute force', 'constructive algorithms', 'implementation', 'number theory', '*1700']"
91,GoodSubstrings,http://codeforces.com/problemset/problem/271/D,"['data structures', 'strings', '*1800']"
92,WonderRoom,http://codeforces.com/problemset/problem/466/B,"['brute force', 'math', '*2000']"
93,Present,http://codeforces.com/problemset/problem/460/C,"['binary search', 'data structures', 'greedy', '*1700']"
94,PaintingFence,http://codeforces.com/problemset/problem/448/C,"['divide and conquer', 'dp', 'greedy', '*1900']"
95,VasyaandBasketball,http://codeforces.com/problemset/problem/493/C,"['binary search', 'brute force', 'data structures', 'implementation', 'sortings', 'two pointers', '*1600']"
96,BearandPrimeNumbers,http://codeforces.com/problemset/problem/385/C,"['binary search', 'brute force', 'data structures', 'dp', 'implementation', 'math', 'number theory', '*1700']"
97,RestoreGraph,http://codeforces.com/problemset/problem/404/C,"['dfs and similar', 'graphs', 'sortings', '*1800']"
98,GargariandBishops,http://codeforces.com/problemset/problem/463/C,"['greedy', 'hashing', 'implementation', '*1900']"
99,MultiplicationTable,http://codeforces.com/problemset/problem/448/D,"['binary search', 'brute force', '*1800']"
