,Nombre,Enlace
0,GeorgeandAccommodation,http://codeforces.com/problemset/problem/467/A
1,SpitProblem,http://codeforces.com/problemset/problem/29/A
2,SerejaandMugs,http://codeforces.com/problemset/problem/426/A
3,PlayingwithDice,http://codeforces.com/problemset/problem/378/A
4,KyoyaandPhotobooks,http://codeforces.com/problemset/problem/554/A
5,Haiku,http://codeforces.com/problemset/problem/78/A
6,Soroban,http://codeforces.com/problemset/problem/363/A
7,Table,http://codeforces.com/problemset/problem/359/A
8,ValeraandPlates,http://codeforces.com/problemset/problem/369/A
9,SinkingShip,http://codeforces.com/problemset/problem/63/A
10,CaseoftheZerosandOnes,http://codeforces.com/problemset/problem/556/A
11,DrazilandDate,http://codeforces.com/problemset/problem/515/A
12,BearandRaspberry,http://codeforces.com/problemset/problem/385/A
13,WormsEvolution,http://codeforces.com/problemset/problem/31/A
14,GroupofStudents,http://codeforces.com/problemset/problem/357/A
15,Lever,http://codeforces.com/problemset/problem/376/A
16,LuckyTicket,http://codeforces.com/problemset/problem/146/A
17,GameWithSticks,http://codeforces.com/problemset/problem/451/A
18,Depression,http://codeforces.com/problemset/problem/80/B
19,EasterEggs,http://codeforces.com/problemset/problem/78/B
20,VasyaandDigitalRoot,http://codeforces.com/problemset/problem/355/A
21,SerejaandCoatRack,http://codeforces.com/problemset/problem/368/A
22,MultiplicationTable,http://codeforces.com/problemset/problem/577/A
23,CanvasFrames,http://codeforces.com/problemset/problem/127/B
24,PetyaandStaircases,http://codeforces.com/problemset/problem/362/B
25,ProgressBar,http://codeforces.com/problemset/problem/71/B
26,AandBandCompilationErrors,http://codeforces.com/problemset/problem/519/B
27,BearandStrings,http://codeforces.com/problemset/problem/385/B
28,DormWaterSupply,http://codeforces.com/problemset/problem/107/A
29,Permutation,http://codeforces.com/problemset/problem/359/B
30,ApplemanandToastman,http://codeforces.com/problemset/problem/461/A
31,StringsofPower,http://codeforces.com/problemset/problem/318/B
32,LexicographicallyMaximumSubsequence,http://codeforces.com/problemset/problem/196/A
33,Whosesentenceisit?,http://codeforces.com/problemset/problem/312/A
34,Milkingcows,http://codeforces.com/problemset/problem/383/A
